sample-id	absolute-filepath	Full_ID	Pig	Date_mddyy	Dorsal_Ventral	SampleType	Timepoint	ExGroup
Kalan16S006-238	/Users/karindadelacruz/LK16S006/ITS/Kalan16S006-238-ITS_S280_L001_R1_001.fastq.gz	WM2-051822-M-Neg	WM2	51822	Neg	Swab	1	WM2-TP1-Neg
Kalan16S006-239	/Users/karindadelacruz/LK16S006/ITS/Kalan16S006-239-ITS_S281_L001_R1_001.fastq.gz	WM2-052022-M-D	WM2	52022	D	Swab	2	WM2-TP2-D
Kalan16S006-240	/Users/karindadelacruz/LK16S006/ITS/Kalan16S006-240-ITS_S282_L001_R1_001.fastq.gz	WM2-052022-M-V	WM2	52022	V	Swab	2	WM2-TP2-V
Kalan16S006-241	/Users/karindadelacruz/LK16S006/ITS/Kalan16S006-241-ITS_S283_L001_R1_001.fastq.gz	WM2-052022-M-F	WM2	52022	F	Swab	2	WM2-TP2-F
Kalan16S006-242	/Users/karindadelacruz/LK16S006/ITS/Kalan16S006-242-ITS_S284_L001_R1_001.fastq.gz	WM2-052022-M-Neg	WM2	52022	Neg	Swab	2	WM2-TP2-Neg
Kalan16S006-243	/Users/karindadelacruz/LK16S006/ITS/Kalan16S006-243-ITS_S285_L001_R1_001.fastq.gz	WM2-052422-M-D	WM2	52422	D	Swab	3	WM2-TP3-D
Kalan16S006-244	/Users/karindadelacruz/LK16S006/ITS/Kalan16S006-244-ITS_S286_L001_R1_001.fastq.gz	WM2-052422-M-V	WM2	52422	V	Swab	3	WM2-TP3-V
Kalan16S006-245	/Users/karindadelacruz/LK16S006/ITS/Kalan16S006-245-ITS_S287_L001_R1_001.fastq.gz	WM2-052422-M-F	WM2	52422	F	Swab	3	WM2-TP3-F
Kalan16S006-246	/Users/karindadelacruz/LK16S006/ITS/Kalan16S006-246-ITS_S288_L001_R1_001.fastq.gz	WM2-052422-M-Neg	WM2	52422	Neg	Swab	3	WM2-TP3-Neg
Kalan16S006-247	/Users/karindadelacruz/LK16S006/ITS/Kalan16S006-247-ITS_S289_L001_R1_001.fastq.gz	WM2-052822-M-D	WM2	52822	D	Swab	4	WM2-TP4-D
Kalan16S006-248	/Users/karindadelacruz/LK16S006/ITS/Kalan16S006-248-ITS_S290_L001_R1_001.fastq.gz	WM2-052822-M-V	WM2	52822	V	Swab	4	WM2-TP4-V
Kalan16S006-249	/Users/karindadelacruz/LK16S006/ITS/Kalan16S006-249-ITS_S291_L001_R1_001.fastq.gz	WM2-052822-M-F	WM2	52822	F	Swab	4	WM2-TP4-F
Kalan16S006-250	/Users/karindadelacruz/LK16S006/ITS/Kalan16S006-250-ITS_S292_L001_R1_001.fastq.gz	WM2-052822-M-Neg	WM2	52822	Neg	Swab	4	WM2-TP4-Neg
Kalan16S006-251	/Users/karindadelacruz/LK16S006/ITS/Kalan16S006-251-ITS_S293_L001_R1_001.fastq.gz	WM2-060122-M-D	WM2	60122	D	Swab	5	WM2-TP5-D
Kalan16S006-252	/Users/karindadelacruz/LK16S006/ITS/Kalan16S006-252-ITS_S294_L001_R1_001.fastq.gz	WM2-060122-M-V	WM2	60122	V	Swab	5	WM2-TP5-V
Kalan16S006-253	/Users/karindadelacruz/LK16S006/ITS/Kalan16S006-253-ITS_S295_L001_R1_001.fastq.gz	WM2-060122-M-F	WM2	60122	F	Swab	5	WM2-TP5-F
Kalan16S006-254	/Users/karindadelacruz/LK16S006/ITS/Kalan16S006-254-ITS_S296_L001_R1_001.fastq.gz	WM2-060122-M-Neg	WM2	60122	Neg	Swab	5	WM2-TP5-Neg
Kalan16S006-255	/Users/karindadelacruz/LK16S006/ITS/Kalan16S006-255-ITS_S299_L001_R1_001.fastq.gz	Zymo Extraction Positive Control	Zymo Extraction Positive Control		Pos	Positive control		
