sample-id	forward-absolute-filepath	reverse-absolute-filepath		Full_ID	Pig	Date_mddyy	Timepoint	Dorsal_Ventral	Burn_Excisional	Infection_Group	Replicate	SampleType	ExGroup
Kalan16S006-020	/Users/karindadelacruz/LK16S006/16SKalan16S006-020-16S_S20_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-020-16S_S20_L001_R2_001.fastq.gz		WM1-052422-V-E-U-2	WM1	52422	3	V	E	U	2	Gauze in PBS	WM1-3-V-E-U
Kalan16S006-021	/Users/karindadelacruz/LK16S006/16SKalan16S006-021-16S_S21_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-021-16S_S21_L001_R2_001.fastq.gz		WM1-052422-V-E-U-3	WM1	52422	3	V	E	U	3	Gauze in PBS	WM1-3-V-E-U
Kalan16S006-022	/Users/karindadelacruz/LK16S006/16SKalan16S006-022-16S_S22_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-022-16S_S22_L001_R2_001.fastq.gz		WM1-052422-V-B-A-1	WM1	52422	3	V	B	A	1	Gauze in PBS	WM1-3-V-B-A
Kalan16S006-023	/Users/karindadelacruz/LK16S006/16SKalan16S006-023-16S_S23_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-023-16S_S23_L001_R2_001.fastq.gz		WM1-052422-V-E-A-1	WM1	52422	3	V	E	A	1	Gauze in PBS	WM1-3-V-E-A
Kalan16S006-024	/Users/karindadelacruz/LK16S006/16SKalan16S006-024-16S_S24_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-024-16S_S24_L001_R2_001.fastq.gz		WM1-052422-V-E-A-2	WM1	52422	3	V	E	A	2	Gauze in PBS	WM1-3-V-E-A
Kalan16S006-025	/Users/karindadelacruz/LK16S006/16SKalan16S006-025-16S_S25_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-025-16S_S25_L001_R2_001.fastq.gz		WM1-052422-V-B-A-2	WM1	52422	3	V	B	A	2	Gauze in PBS	WM1-3-V-B-A
Kalan16S006-026	/Users/karindadelacruz/LK16S006/16SKalan16S006-026-16S_S26_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-026-16S_S26_L001_R2_001.fastq.gz		WM1-052422-V-B-B-1	WM1	52422	3	V	B	B	1	Gauze in PBS	WM1-3-V-B-B
Kalan16S006-027	/Users/karindadelacruz/LK16S006/16SKalan16S006-027-16S_S27_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-027-16S_S27_L001_R2_001.fastq.gz		WM1-052422-V-E-B-1	WM1	52422	3	V	E	B	1	Gauze in PBS	WM1-3-V-E-B
Kalan16S006-028	/Users/karindadelacruz/LK16S006/16SKalan16S006-028-16S_S28_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-028-16S_S28_L001_R2_001.fastq.gz		WM1-052422-V-E-B-2	WM1	52422	3	V	E	B	2	Gauze in PBS	WM1-3-V-E-B
Kalan16S006-029	/Users/karindadelacruz/LK16S006/16SKalan16S006-029-16S_S29_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-029-16S_S29_L001_R2_001.fastq.gz		WM1-052422-V-B-B-2	WM1	52422	3	V	B	B	2	Gauze in PBS	WM1-3-V-B-B
Kalan16S006-030	/Users/karindadelacruz/LK16S006/16SKalan16S006-030-16S_S30_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-030-16S_S30_L001_R2_001.fastq.gz		WM1-052422-V-B-C-1	WM1	52422	3	V	B	C	1	Gauze in PBS	WM1-3-V-B-C
Kalan16S006-031	/Users/karindadelacruz/LK16S006/16SKalan16S006-031-16S_S31_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-031-16S_S31_L001_R2_001.fastq.gz		WM1-052422-V-E-C-1	WM1	52422	3	V	E	C	1	Gauze in PBS	WM1-3-V-E-C
Kalan16S006-032	/Users/karindadelacruz/LK16S006/16SKalan16S006-032-16S_S32_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-032-16S_S32_L001_R2_001.fastq.gz		WM1-052422-V-E-C-2	WM1	52422	3	V	E	C	2	Gauze in PBS	WM1-3-V-E-C
Kalan16S006-033	/Users/karindadelacruz/LK16S006/16SKalan16S006-033-16S_S33_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-033-16S_S33_L001_R2_001.fastq.gz		WM1-052422-V-B-C-2	WM1	52422	3	V	B	C	2	Gauze in PBS	WM1-3-V-B-C
Kalan16S006-034	/Users/karindadelacruz/LK16S006/16SKalan16S006-034-16S_S34_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-034-16S_S34_L001_R2_001.fastq.gz		WM1-052422-V-B-U-1	WM1	52422	3	V	B	U	1	Gauze in PBS	WM1-3-V-B-U
Kalan16S006-035	/Users/karindadelacruz/LK16S006/16SKalan16S006-035-16S_S35_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-035-16S_S35_L001_R2_001.fastq.gz		WM1-052422-V-B-U-2	WM1	52422	3	V	B	U	2	Gauze in PBS	WM1-3-V-B-U
Kalan16S006-036	/Users/karindadelacruz/LK16S006/16SKalan16S006-036-16S_S36_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-036-16S_S36_L001_R2_001.fastq.gz		WM1-052422-V-B-U-3	WM1	52422	3	V	B	U	3	Gauze in PBS	WM1-3-V-B-U
Kalan16S006-037	/Users/karindadelacruz/LK16S006/16SKalan16S006-037-16S_S37_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-037-16S_S37_L001_R2_001.fastq.gz		WM2-052422-D-E-U-1	WM2	52422	3	D	E	U	1	Gauze in PBS	WM2-3-D-E-U
Kalan16S006-038	/Users/karindadelacruz/LK16S006/16SKalan16S006-038-16S_S38_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-038-16S_S38_L001_R2_001.fastq.gz		WM2-052422-D-E-U-2	WM2	52422	3	D	E	U	2	Gauze in PBS	WM2-3-D-E-U
Kalan16S006-039	/Users/karindadelacruz/LK16S006/16SKalan16S006-039-16S_S39_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-039-16S_S39_L001_R2_001.fastq.gz		WM2-052422-D-E-U-3	WM2	52422	3	D	E	U	3	Gauze in PBS	WM2-3-D-E-U
Kalan16S006-040	/Users/karindadelacruz/LK16S006/16SKalan16S006-040-16S_S40_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-040-16S_S40_L001_R2_001.fastq.gz		WM2-052422-D-E-A-1	WM2	52422	3	D	E	A	1	Gauze in PBS	WM2-3-D-E-A
Kalan16S006-041	/Users/karindadelacruz/LK16S006/16SKalan16S006-041-16S_S41_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-041-16S_S41_L001_R2_001.fastq.gz		WM2-052422-D-B-A-1	WM2	52422	3	D	B	A	1	Gauze in PBS	WM2-3-D-B-A
Kalan16S006-042	/Users/karindadelacruz/LK16S006/16SKalan16S006-042-16S_S42_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-042-16S_S42_L001_R2_001.fastq.gz		WM2-052422-D-B-A-2	WM2	52422	3	D	B	A	2	Gauze in PBS	WM2-3-D-B-A
Kalan16S006-043	/Users/karindadelacruz/LK16S006/16SKalan16S006-043-16S_S43_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-043-16S_S43_L001_R2_001.fastq.gz		WM2-052422-D-E-A-2	WM2	52422	3	D	E	A	2	Gauze in PBS	WM2-3-D-E-A
Kalan16S006-044	/Users/karindadelacruz/LK16S006/16SKalan16S006-044-16S_S44_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-044-16S_S44_L001_R2_001.fastq.gz		WM2-052422-D-E-B-1	WM2	52422	3	D	E	B	1	Gauze in PBS	WM2-3-D-E-B
Kalan16S006-045	/Users/karindadelacruz/LK16S006/16SKalan16S006-045-16S_S45_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-045-16S_S45_L001_R2_001.fastq.gz		WM2-052422-D-B-B-1	WM2	52422	3	D	B	B	1	Gauze in PBS	WM2-3-D-B-B
Kalan16S006-046	/Users/karindadelacruz/LK16S006/16SKalan16S006-046-16S_S46_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-046-16S_S46_L001_R2_001.fastq.gz		WM2-052422-D-B-B-2	WM2	52422	3	D	B	B	2	Gauze in PBS	WM2-3-D-B-B
Kalan16S006-047	/Users/karindadelacruz/LK16S006/16SKalan16S006-047-16S_S47_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-047-16S_S47_L001_R2_001.fastq.gz		WM2-052422-D-E-B-2	WM2	52422	3	D	E	B	2	Gauze in PBS	WM2-3-D-E-B
Kalan16S006-048	/Users/karindadelacruz/LK16S006/16SKalan16S006-048-16S_S48_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-048-16S_S48_L001_R2_001.fastq.gz		WM2-052422-D-E-C-1	WM2	52422	3	D	E	C	1	Gauze in PBS	WM2-3-D-E-C
Kalan16S006-049	/Users/karindadelacruz/LK16S006/16SKalan16S006-049-16S_S49_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-049-16S_S49_L001_R2_001.fastq.gz		WM2-052422-D-B-C-1	WM2	52422	3	D	B	C	1	Gauze in PBS	WM2-3-D-B-C
Kalan16S006-050	/Users/karindadelacruz/LK16S006/16SKalan16S006-050-16S_S50_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-050-16S_S50_L001_R2_001.fastq.gz		WM2-052422-D-B-C-2	WM2	52422	3	D	B	C	2	Gauze in PBS	WM2-3-D-B-C
Kalan16S006-051	/Users/karindadelacruz/LK16S006/16SKalan16S006-051-16S_S51_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-051-16S_S51_L001_R2_001.fastq.gz		WM2-052422-D-E-C-2	WM2	52422	3	D	E	C	2	Gauze in PBS	WM2-3-D-E-C
Kalan16S006-052	/Users/karindadelacruz/LK16S006/16SKalan16S006-052-16S_S52_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-052-16S_S52_L001_R2_001.fastq.gz		WM2-052422-D-B-U-1	WM2	52422	3	D	B	U	1	Gauze in PBS	WM2-3-D-B-U
Kalan16S006-053	/Users/karindadelacruz/LK16S006/16SKalan16S006-053-16S_S53_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-053-16S_S53_L001_R2_001.fastq.gz		WM2-052422-D-B-U-2	WM2	52422	3	D	B	U	2	Gauze in PBS	WM2-3-D-B-U
Kalan16S006-054	/Users/karindadelacruz/LK16S006/16SKalan16S006-054-16S_S54_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-054-16S_S54_L001_R2_001.fastq.gz		WM2-052422-D-B-U-3	WM2	52422	3	D	B	U	3	Gauze in PBS	WM2-3-D-B-U
Kalan16S006-055	/Users/karindadelacruz/LK16S006/16SKalan16S006-055-16S_S55_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-055-16S_S55_L001_R2_001.fastq.gz		WM2-052422-V-B-U-1	WM2	52422	3	V	B	U	1	Gauze in PBS	WM2-3-V-B-U
Kalan16S006-056	/Users/karindadelacruz/LK16S006/16SKalan16S006-056-16S_S56_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-056-16S_S56_L001_R2_001.fastq.gz		WM2-052422-V-B-U-2	WM2	52422	3	V	B	U	2	Gauze in PBS	WM2-3-V-B-U
Kalan16S006-057	/Users/karindadelacruz/LK16S006/16SKalan16S006-057-16S_S57_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-057-16S_S57_L001_R2_001.fastq.gz		WM2-052422-V-B-U-3	WM2	52422	3	V	B	U	3	Gauze in PBS	WM2-3-V-B-U
Kalan16S006-058	/Users/karindadelacruz/LK16S006/16SKalan16S006-058-16S_S58_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-058-16S_S58_L001_R2_001.fastq.gz		WM2-052422-V-B-C-1	WM2	52422	3	V	B	C	1	Gauze in PBS	WM2-3-V-B-C
Kalan16S006-059	/Users/karindadelacruz/LK16S006/16SKalan16S006-059-16S_S59_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-059-16S_S59_L001_R2_001.fastq.gz		WM2-052422-V-E-C-1	WM2	52422	3	V	E	C	1	Gauze in PBS	WM2-3-V-E-C
Kalan16S006-060	/Users/karindadelacruz/LK16S006/16SKalan16S006-060-16S_S60_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-060-16S_S60_L001_R2_001.fastq.gz		WM2-052422-V-E-C-2	WM2	52422	3	V	E	C	2	Gauze in PBS	WM2-3-V-E-C
Kalan16S006-061	/Users/karindadelacruz/LK16S006/16SKalan16S006-061-16S_S61_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-061-16S_S61_L001_R2_001.fastq.gz		WM2-052422-V-B-C-2	WM2	52422	3	V	B	C	2	Gauze in PBS	WM2-3-V-B-C
Kalan16S006-062	/Users/karindadelacruz/LK16S006/16SKalan16S006-062-16S_S62_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-062-16S_S62_L001_R2_001.fastq.gz		WM2-052422-V-B-B-1	WM2	52422	3	V	B	B	1	Gauze in PBS	WM2-3-V-B-B
